gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000000003.14	2884	1912	3301	2664	2586	2905	3047	3875	3005	2066
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.12	4820	2933	3245	2572	3616	4027	2291	2708	3619	2177
ENSG00000000457.13	282	158	85	63	204	255	92	87	244	164
ENSG00000000460.16	1085	756	466	412	923	1101	391	420	842	557
ENSG00000000938.12	0	0	0	0	0	0	1	1	0	0
ENSG00000000971.15	3408	1993	3910	3313	2775	3095	3825	4792	3344	2102
ENSG00000001036.13	6574	4304	7388	6219	5972	6498	6856	8821	6626	4465
ENSG00000001084.10	1700	1117	736	640	1357	1726	284	297	1541	964
ENSG00000001167.14	2668	1696	924	763	2412	2667	200	257	2265	1557
ENSG00000001460.17	201	141	102	80	132	165	66	83	147	110
ENSG00000001461.16	1969	1186	1672	1493	1697	1830	1648	1992	1866	1213
ENSG00000001497.16	3563	2151	3138	2583	3324	3592	2835	3452	3546	2395
ENSG00000001561.6	534	339	400	333	430	460	389	349	494	331
ENSG00000001617.11	511	370	655	539	480	590	593	755	591	363
ENSG00000001626.14	2	3	1	1	4	3	2	2	5	2
ENSG00000001629.9	4679	2987	2875	2461	4036	4507	1894	2057	3205	2222
ENSG00000001630.15	454	212	304	257	366	394	262	299	445	285
ENSG00000001631.14	3081	2017	1388	1171	2269	2774	939	995	2227	1363
ENSG00000002016.16	133	72	35	33	110	128	35	40	97	78
ENSG00000002079.12	7	0	5	4	1	1	6	4	3	1
ENSG00000002330.13	3681	2425	3772	3229	3324	3839	3396	4670	3667	2391
ENSG00000002549.12	9825	5933	8963	7436	8330	9128	8133	10065	9138	6042
ENSG00000002586.17	1	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	2060	1475	320	287	1940	2212	150	160	1315	897
ENSG00000002726.19	0	0	0	0	0	0	0	0	0	0
ENSG00000002745.12	6	2	5	1	3	4	5	7	7	5
